"id","item_name","short_description","item_tags","created_at"
"1144","Maas Kharet Stillsuit Set","Stillsuit container","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1145","Makeshift Filter","A basic filter crafted in a Survival Fabricator.","[""Items.RefinedResources.Fuel"",""LootTier.3"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"1146","Makeshift Gloves","A crude pair of gloves made from plant fiber.","[""Items.Clothes.ScoutArmor.Hands"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1147","Makeshift Hood","A crude hood made from plant fiber.","[""Items.Clothes.ScoutArmor.Head"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1148","Makeshift Jacket","A crude jacket made from plant fiber.","[""Items.Clothes.ScoutArmor.Torso"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1149","Makeshift Pants","A crude pair of pants made from plant fiber.","[""Items.Clothes.ScoutArmor.Legs"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1150","Makeshift Shoes","A crude pair of shoes made from plant fiber.","[""Items.Clothes.ScoutArmor.Feet"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1151","Maraqeb Stillsuit Boots","Stillsuit boots made in honor of Maraqeb, the sentinel.","[""Items.Clothes.Stillsuit.Feet"",""LootTier.4"",""Rarity.Rare"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"1152","Maraqeb Stillsuit Boots Schematic","Schematic for stillsuit boots made in honor of Maraqeb, the sentinel.","[""Items.Schematics.Clothes.Stillsuit"",""LootTier.4"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1153","Maraqeb Stillsuit Garment","A stillsuit garment made in honor of Maraqeb, the sentinel.","[""Items.Clothes.Stillsuit.Torso"",""LootTier.4"",""Rarity.Rare"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"1154","Maraqeb Stillsuit Garment Schematic","Schematic for a stillsuit garment made in honor of Maraqeb, the sentinel.","[""Items.Schematics.Clothes.Stillsuit"",""LootTier.4"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1155","Maraqeb Stillsuit Gloves","Stillsuit gloves made in honor of Maraqeb, the sentinel.","[""Items.Clothes.Stillsuit.Hands"",""LootTier.4"",""Rarity.Rare"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"1156","Maraqeb Stillsuit Gloves Schematic","Schematic for stillsuit gloves made in honor of Maraqeb, the sentinel.","[""Items.Schematics.Clothes.Stillsuit"",""LootTier.4"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1157","Maraqeb Stillsuit Mask","A stillsuit mask made in honor of Maraqeb, the sentinel.","[""Items.Clothes.Stillsuit.Head"",""LootTier.4"",""Rarity.Rare"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"1158","Maraqeb Stillsuit Mask Schematic","Schematic for a stillsuit mask made in honor of Maraqeb, the sentinel.","[""Items.Schematics.Clothes.Stillsuit"",""LootTier.4"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1159","Massive Blood Sack","Portable container used for carrying extracted blood.","[""Items.Holsters.HydrationTools"",""LootTier.6"",""Loot.Fremen"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1160","Maula Boots","Poor quality boots given to prisoners and slaves.","[""Items.Clothes.Social.Feet"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1161","Maula Bracers","Poor quality bracers given to prisoners and slaves.","[""Items.Clothes.Social.Hands"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1162","Maula Breeches","Poor quality breeches given to prisoners and slaves.","[""Items.Clothes.Social.Legs"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1163","Maula Gladiator Breeches","A maula gladiator's pants","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1164","Maula Gladiator Cuirass","A maula gladiator's chestpiece","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1165","Maula Gladiator Gauntlets","A maula gladiator's gauntlets","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1166","Maula Gladiator Helmet","A maula gladiator's helmet","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1167","Maula Gladiator Sandals","A maula gladiator's boots","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1168","Maula Pistol","Lightweight Pistol.","[""Items.Holsters.RangedWeapons.Light.Pistol"",""LootTier.1"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"1169","Maula Pistol 1.5x Sight Schematic","1.5x sight for the Maula Pistol","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1170","Maula Pistol Combat Sight Schematic","Schematic for a Maula Pistol Combat Sight","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1171","Maula Pistol Full Auto Converter Schematic","Schematic for a Maula Pistol Full Auto Converter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1172","Maula Pistol Igniter Schematic","Fire igniter attachment for the Maula Pistol","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1173","Maula Pistol MK l Schematic","Schematic for a Maula Pistol MK l","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1174","Maula Pistol MK ll Schematic","Schematic for a Maula Pistol MK ll","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1175","Maula Pistol Quick Loader Schematic","Quick loader for the Maula Pistol","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1176","Maula Pistol Schematic","Schematic for a Maula Pistol","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1177","Maula Vest","Poor quality vest given to prisoners and slaves.","[""Items.Clothes.Social.Torso"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1178","Maula Vest","Poor quality vest given to prisoners and slaves.","[""Items.Clothes.Social.Torso"",""LootTier.0""]","2026-02-25 21:38:24.494667+00"
"1179","Mechanic Set Sign Patent","","[""Items.Consumables.BuildableSets"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1180","Mechanical Parts","A Great House component used in fabrication.","[""Items.CraftedResources"",""LootTier.1"",""Loot.GreatHouse""]","2026-02-25 21:38:24.494667+00"
"1181","Medium Blood Sack","Portable container used for carrying extracted blood.","[""Items.Holsters.HydrationTools"",""LootTier.2"",""Loot.Fremen"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1182","Medium Insulated Water Cistern","Stores water","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1183","Medium Ore Refinery Patent","Refines ores into ingots","[""Items.Consumables.BuildableSets"",""LootTier.4"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1184","Medium Ornithopter Bomb Bay","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1185","Medium Ornithopter Dart Gun","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1186","Medium Ornithopter Dart Gun","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1187","Medium Ornithopter Rocket Launcher 7","Adds a rocket launcher to the Ornithopter.","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1188","Medium Ornithopter Shield","","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1189","Medium Sized Vehicle Fuel Cell","Refined Fuel Cells used to power vehicles.","[""Items.RefinedResources.Fuel"",""LootTier.3""]","2026-02-25 21:38:24.494667+00"
"1190","Medium Spice Refinery Patent","Processes Spice Sand into Spice Melange","[""Items.Consumables.BuildableSets"",""LootTier.5"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1191","Medium Thopter Armored Cockpit Schematic","Armored cockpit for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1192","Medium Thopter Body Schematic","Standard body for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1193","Medium Thopter Boost Module Schematic","Boost module for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1194","Medium Thopter Chassis Schematic","Standard chassis for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1195","Medium Thopter Cockpit Schematic","Standard cockpit for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1196","Medium Thopter Dragonfly Wings Schematic","Dragonfly style wings for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1197","Medium Thopter Efficient Chassis Schematic","Fuel efficient chassis for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1198","Medium Thopter Efficient PSU Schematic","Fuel efficient PSU for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1199","Medium Thopter Engine Schematic","Standard engine for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1200","Medium Thopter Hazard Cockpit Schematic","Hazard-safe cockpit for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1201","Medium Thopter Health Chassis Schematic","Health chassis for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1202","Medium Thopter Heavy Dart Cannon Schematic","Heavy dart cannon for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1203","Medium Thopter Light Dart Gun Schematic","Light dart gun repeater for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1204","Medium Thopter Manual Schematic","A set of schematics for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1205","Medium Thopter Missle Launcher Schematic","Guided missile launcher for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1206","Medium Thopter PSU Schematic","Standard PSU for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1207","Medium Thopter Recon Scanner Schematic","Recon scanner for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1208","Medium Thopter Rocket Launcher Schematic","Unguided rocket launcher for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1209","Medium Thopter Shield Module Schematic","Shield module for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1210","Medium Thopter Speed Engine Schematic","A fast engine for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1211","Medium Thopter Tail Schematic","Standard tail for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1212","Medium Thopter Vented PSU Schematic","Heat efficient PSU for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1213","Medium Thopter Wings Schematic","Standard wings for the CHOAM Medium Thopter","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1214","Medium vehicle fuel schematic - medium refinery Schematic","N/a","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1215","Medium vehicle fuel schematic - small refinery Schematic","N/a","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1216","Medium Water Cistern Patent","Stores water","[""Items.Consumables.BuildableSets"",""LootTier.3"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1217","Melange Spiced Beer","Consumed to gain spice exposure.","[""Items.Consumables.Spice"",""LootTier.3"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1218","Melange Spiced Coffee","Consumed to gain spice exposure.","[""Items.Consumables.Spice"",""LootTier.4"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1219","Melange Spiced Food","Consumed to gain spice exposure.","[""Items.Consumables.Spice"",""LootTier.2"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1220","Melange Spiced Liquor","Consumed to gain spice exposure.","[""Items.Consumables.Spice"",""LootTier.6"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1221","Melange Spiced Wine","Consumed to gain spice exposure.","[""Items.Consumables.Spice"",""LootTier.5"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1222","Memorial Plaque","Memorial Plaque","[""Items.Consumables.BuildableSets"",""LootTier.1"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1223","Mendek's Boots","Heavy boots designed by General Mendek.","[""Items.Clothes.HeavyArmor.Feet"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1224","Mendek's Boots Schematic","Schematic for heavy boots designed by General Mendek.","[""Items.Schematics.Clothes.HeavyArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1225","Mendek's Chestplate","A heavy chestplate designed by General Mendek.","[""Items.Clothes.HeavyArmor.Torso"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1226","Mendek's Chestplate Schematic","Schematic for a heavy chestplate designed by General Mendek.","[""Items.Schematics.Clothes.HeavyArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1227","Mendek's Gauntlets","Heavy gauntlets designed by General Mendek.","[""Items.Clothes.HeavyArmor.Hands"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1228","Mendek's Gauntlets Schematic","Schematic for heavy gauntlets designed by General Mendek.","[""Items.Schematics.Clothes.HeavyArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1229","Mendek's Helmet","A heavy helmet designed by General Mendek.","[""Items.Clothes.HeavyArmor.Head"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1230","Mendek's Helmet Schematic","Schematic for a heavy helmet designed by General Mendek.","[""Items.Schematics.Clothes.HeavyArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1231","Mendek's Pants","Heavy pants designed by General Mendek.","[""Items.Clothes.HeavyArmor.Legs"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1232","Mendek's Pants Schematic","Schematic for heavy pants designed by General Mendek.","[""Items.Schematics.Clothes.HeavyArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1233","Mendek's Rattle","A modified battle rifle that fires bursts of darts.","[""Items.Holsters.RangedWeapons.Light.Rifle.BattleRifle"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1234","Mendek's Rattle Schematic","Schematic for a modified battle rifle that fires bursts of darts.","[""Items.Schematics.RangedWeapons.Light.Rifle"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1235","Mendia's Boots","Unique boots worn by the Kirab leader, Mendia.","[""Items.Clothes.ScoutArmor.Feet"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1236","Mendia's Boots Schematic","Schematic for unique boots worn by the Kirab leader, Mendia.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.2"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1237","Mendia's Gauntlets","Unique gloves worn by the Kirab leader, Mendia.","[""Items.Clothes.ScoutArmor.Hands"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1238","Mendia's Gauntlets Schematic","Schematic for unique gloves worn by the Kirab leader, Mendia.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.2"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1239","Mendia's Jacket","A unique jacket worn by the Kirab leader, Mendia.","[""Items.Clothes.ScoutArmor.Torso"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1240","Mendia's Jacket Schematic","Schematic for a unique jacket worn by the Kirab leader, Mendia.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.2"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1241","Mendia's Pants","Unique pants worn by the Kirab leader, Mendia.","[""Items.Clothes.ScoutArmor.Legs"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1242","Mendia's Pants Schematic","Schematic for unique pants worn by the Kirab leader, Mendia.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.2"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1243","Mendia's Wrap","Unique headwrap worn by the Kirab leader, Mendia.","[""Items.Clothes.ScoutArmor.Head"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1244","Mendia's Wrap Schematic","Schematic for a unique headwrap worn by the Kirab leader, Mendia.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.2"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"1245","Menol's Stillsuit Boots","Unique armored stillsuit boots created by Menol.","[""Items.Clothes.Stillsuit.Feet"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1246","Menol's Stillsuit Garment","A unique armored stillsuit garment created by Menol.","[""Items.Clothes.Stillsuit.Torso"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1247","Menol's Stillsuit Gloves","Unique armored stillsuit gloves created by Menol.","[""Items.Clothes.Stillsuit.Hands"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1248","Menol's Stillsuit Mask","A unique armored stillsuit mask created by Menol.","[""Items.Clothes.Stillsuit.Head"",""LootTier.2"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"1249","Mentat Armor Set","Armor Container.","[""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1250","Mentat Light Armor Set Schematic","A schematic set for the Mentat Unique Armor","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"1251","Mentat's Garment Boots","A Unique Mentat's Garment Boots.","[""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1252","Mentat's Garment Chest","A Unique Mentat's Garment Chest.","[""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1253","Mentat's Garment Gauntlets","A Unique Mentat's Garment Gauntlets.","[""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"1254","Mentat's Garment Helmet","A Unique Mentat's Garment Helmet.","[""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
